Strain,Experiment,%wGFPpucta.per.GFPpositive,%wGFPpuncta.per.cell,Condition
YDJ5520,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.05155,0.025,outgrowth
YDJ5530,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.26087,0.19048,outgrowth
YDJ5531,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.06154,0.03604,outgrowth
YDJ6615,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.07843,0.03279,outgrowth
YDJ6616,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.01316,0.00629,outgrowth
YDJ6617,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.25532,0.18182,outgrowth
YDJ6618,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.08046,0.07,outgrowth
YDJ6619,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.03448,0.01176,outgrowth
YDJ5500,20170410_TwoColorRepeat_gd/20170410/preInduction/20170410_preInduction.lif,0.06684492,0.055432373,pre-induction
YDJ5501,20170410_TwoColorRepeat_gd/20170410/preInduction/20170410_preInduction.lif,0.029411765,0.029411765,pre-induction
YDJ5501,"20170410_TwoColorRepeat_gd/20170410/preInduction/20170410_preInduction.lif, biorep2",0.014705882,0.014705882,pre-induction
YDJ5501,"20170410_TwoColorRepeat_gd/20170410/preInduction/20170410_preInduction.lif, biorep3",0.05,0.05,pre-induction
YDJ5500,_20171009_TwoColorPlasmids_gd/20171009_preInd/preInduction/20171009_SDlog.lif,0.135714286,0.106145251,pre-induction
YDJ5501,_20171009_TwoColorPlasmids_gd/20171009_preInd/preInduction/20171009_SDlog.lif,0.045454545,0.04,pre-induction
YDJ5502,_20171009_TwoColorPlasmids_gd/20171009_preInd/preInduction/20171009_SDlog.lif,0.05,0.023952096,pre-induction
YDJ5519,_20171009_TwoColorPlasmids_gd/20171009_preInd/preInduction/20171009_SDlog.lif,0.021276596,0.012820513,pre-induction
YDJ5520,_20171009_TwoColorPlasmids_gd/20171009_preInd/preInduction/20171009_SDlog.lif,0,0,pre-induction
YDJ5530,_20171009_TwoColorPlasmids_gd/20171009_preInd/preInduction/20171009_SDlog.lif,0.144654088,0.105022831,pre-induction
YDJ5531,_20171009_TwoColorPlasmids_gd/20171009_preInd/preInduction/20171009_SDlog.lif,0.229166667,0.098214286,pre-induction
YDJ5533,_20171009_TwoColorPlasmids_gd/20171009_preInd/preInduction/20171009_SDlog.lif,0,0,pre-induction
YDJ5500,_20171009_TwoColorPlasmids_gd/20171010/24hrGAL/20171010_SGALlog.lif,0.733333333,0.47826087,induction
YDJ5501,_20171009_TwoColorPlasmids_gd/20171010/24hrGAL/20171010_SGALlog.lif,0.404040404,0.18957346,induction
YDJ5502,_20171009_TwoColorPlasmids_gd/20171010/24hrGAL/20171010_SGALlog.lif,0.163522013,0.087248322,induction
YDJ5520,_20171009_TwoColorPlasmids_gd/20171010/24hrGAL/20171010_SGALlog.lif,0.211267606,0.142857143,induction
YDJ5530,_20171009_TwoColorPlasmids_gd/20171010/24hrGAL/20171010_SGALlog.lif,0.077294686,0.044817927,induction
YDJ5531,_20171009_TwoColorPlasmids_gd/20171010/24hrGAL/20171010_SGALlog.lif,0.214285714,0.142857143,induction
YDJ5533,_20171009_TwoColorPlasmids_gd/20171010/24hrGAL/20171010_SGALlog.lif,0,0,induction
YDJ5500,_20171009_TwoColorPlasmids_gd/20171012_48hrOutgrowth/20171012_SD_1in200.lif,0.413793103,0.24291498,outgrowth
YDJ5501,_20171009_TwoColorPlasmids_gd/20171012_48hrOutgrowth/20171012_SD_1in200.lif,0.024390244,0.017621145,outgrowth
YDJ5502,_20171009_TwoColorPlasmids_gd/20171012_48hrOutgrowth/20171012_SD_1in200.lif,0,0,outgrowth
YDJ5520,_20171009_TwoColorPlasmids_gd/20171012_48hrOutgrowth/20171012_SD_1in200.lif,0.016949153,0.015873016,outgrowth
YDJ5530,_20171009_TwoColorPlasmids_gd/20171012_48hrOutgrowth/20171012_SD_1in200.lif,0.013071895,0.012578616,outgrowth
YDJ5531,_20171009_TwoColorPlasmids_gd/20171012_48hrOutgrowth/20171012_SD_1in200.lif,0.122807018,0.127272727,outgrowth
YDJ5533,_20171009_TwoColorPlasmids_gd/20171012_48hrOutgrowth/20171012_SD_1in200.lif,0,0,outgrowth
