Uniprot ID,Gene Name,log abs.LFQ AgWTD06 Corrected,log abs.LFQ AgWTD17 Corrected,
Q09591,mix-1,5.467208453,5.71748086,
Q09599,cdl-1,3.620647031,5.571686074,
Q09603,ech-4,5.390492266,5.975453822,
Q09614;Q09540,ptc-1,4.677924687,5.00788432,
Q09629,ZK673.2,4.086460487,5.115484485,
Q09646,ham-3,4.476544226,4.608658015,
Q09974,,4.932948737,5.467610455,
Q09975,lys-8,5.474206491,5.572290867,
Q09996,lrs-1,6.204026706,6.556304317,
Q09EE7;Q94392,nsf-1,5.526395018,5.547736971,
Q0KHC0;Q9U1X4,mdt-9,4.167176797,5.636133628,
Q10039,grs-1,5.041078662,5.366832094,
Q10453;Q27489;Q27490,his-71,5.468970636,6.198095702,
Q10576,dpy-18,4.899486219,5.183188148,
Q10657,tpi-1,4.598739339,6.111722743,
Q10954,,4.368936586,4.698028771,
Q11067,tag-320,5.560891485,5.595243986,
Q11190,let-721,5.452804455,5.54991342,
Q17335;Q17335-2,H24K24.3,5.618700465,5.880399775,
Q17345,ccf-1,4.807306412,5.762191148,
Q17361,usp-14,5.094864787,6.61519669,
Q17390;Q17390-3;Q17390-2,cul-2,5.033909705,5.37060995,
Q17391,cul-3,5.162464514,5.809778065,
Q17411,,4.76822179,4.91911568,
Q17413,B0001.4,4.536197007,6.067362672,
Q17425,,4.686509376,5.008978262,
Q17430,,4.112785894,5.071324259,
Q17432,,5.642649558,6.857527912,
Q17436,,4.141784833,4.17447527,
Q17473,ttr-18,4.612014917,4.835842456,
Q17492,,4.825129564,5.881875024,
Q17499,,4.115733329,4.31078796,
Q17533,exos-4.1,3.553088482,4.48134784,
Q17539,,5.508304219,6.151027245,
Q17543,,4.842951843,4.906957544,
Q17568,,3.989144992,5.624989091,
Q17569,,6.258617814,6.475456393,
Q17572,,5.833881568,6.301536833,
Q17574;Q17574-2,tag-165,4.931892927,5.356409104,
Q17625,,5.70910511,6.520270916,
Q17632,dis-3,4.400532274,4.612466641,
Q17635,ndc-80,4.870100902,5.358333473,
Q17695,spdl-1,4.316788128,4.454148224,
Q17703;O17795,stdh-1,4.201361938,4.827873347,
Q17763,atp-5,6.061901721,6.645139515,
